layer,feature,frac_external_raw,logit_influence
0,2932,1.0,0.635818362236023
0,3041,1.0,0.7811724543571472
0,3290,1.0,0.5478946566581726
0,3495,1.0,0.7977938055992126
0,3598,1.0,0.4604378342628479
0,4274,1.0,0.5661209225654602
0,4420,1.0,0.6964151263237
0,5113,1.0,0.7201805114746094
0,5194,1.0,0.761326253414154
0,6074,1.0,0.6581476926803589
0,6116,1.0,0.7031260132789612
0,6786,1.0,0.6240814924240112
0,6862,1.0,0.730036199092865
0,6929,1.0,0.5948798656463623
0,7301,1.0,0.7412734627723694
0,7584,1.0,0.7427154183387756
0,7714,1.0,0.6302212476730347
0,8002,1.0,0.5841574668884277
0,8163,1.0,0.7116735577583313
0,8446,1.0,0.7683379650115967
0,8489,1.0,0.7161725759506226
0,8519,1.0,0.6186563968658447
0,9026,1.0,0.6792524456977844
0,9193,1.0,0.7697045207023621
0,9558,1.0,0.750092089176178
0,9697,1.0,0.7393404245376587
0,9773,1.0,0.7820638418197632
0,10205,1.0,0.6951714158058167
0,10378,1.0,0.741755485534668
0,10408,1.0,0.6409663558006287
0,10716,1.0,0.7588884234428406
0,11482,1.0,0.5092213153839111
0,11563,1.0,0.6160436868667603
0,11850,1.0,0.7463581562042236
0,12082,1.0,0.4759894609451294
0,12200,1.0,0.754938006401062
0,12341,1.0,0.6612066030502319
0,13009,1.0,0.6542695760726929
0,13346,1.0,0.7744036316871643
0,13765,1.0,0.5930258631706238
0,14184,1.0,0.7597530484199524
0,14254,1.0,0.5643534660339355
0,14308,1.0,0.6290167570114136
0,15348,1.0,0.7898747324943542
0,15746,1.0,0.685735821723938
0,16331,1.0,0.776645839214325
0,16333,1.0,0.6728349328041077
0,127,1.0,0.7823174595832825
0,391,1.0,0.7868192195892334
0,1165,1.0,0.6756077408790588
0,1847,1.0,0.62376868724823
0,2115,1.0,0.6988819241523743
0,2189,1.0,0.762606143951416
0,2586,1.0,0.7279652953147888
0,3242,1.0,0.7523820996284485
0,3256,1.0,0.7585991621017456
0,3670,1.0,0.7809168100357056
0,3981,1.0,0.7237554788589478
0,4687,1.0,0.5369464159011841
0,4823,1.0,0.7064852118492126
0,4991,1.0,0.781936764717102
0,5215,1.0,0.67514967918396
0,5297,1.0,0.7298646569252014
0,5369,1.0,0.7325804233551025
0,5626,1.0,0.44114476442337036
0,6116,1.0,0.7578748464584351
0,6133,1.0,0.7946450710296631
0,8163,1.0,0.7594653367996216
0,8773,1.0,0.6986774802207947
0,9397,1.0,0.7263952493667603
0,9480,1.0,0.7395018339157104
0,10315,1.0,0.7927510738372803
0,11645,1.0,0.55182945728302
0,12200,1.0,0.7258692383766174
0,14519,1.0,0.6982682347297668
0,15038,1.0,0.7277916669845581
0,15089,1.0,0.7319060564041138
0,16183,1.0,0.7758573889732361
0,1448,1.0,0.6697681546211243
0,1998,1.0,0.5674353837966919
0,2115,1.0,0.7045183181762695
0,2514,1.0,0.6637023687362671
0,2841,1.0,0.5801380276679993
0,4739,1.0,0.5508567690849304
0,4823,1.0,0.5805436372756958
0,6274,1.0,0.7255182266235352
0,9773,1.0,0.6760652661323547
0,9883,1.0,0.7620378136634827
0,10455,1.0,0.730889618396759
0,11375,1.0,0.3713891804218292
0,12200,1.0,0.7242863178253174
0,12215,1.0,0.6930747032165527
0,12747,1.0,0.6922258138656616
0,13004,1.0,0.4203057587146759
0,13523,1.0,0.6586596965789795
0,16170,1.0,0.7969827055931091
1,2163,1.0,0.702125608921051
1,4798,1.0,0.7939364314079285
1,6330,1.0,0.697035014629364
1,6638,1.0,0.7037234306335449
1,6788,1.0,0.7921565175056458
1,11640,1.0,0.7975622415542603
1,12305,1.0,0.7994050979614258
1,14137,1.0,0.38360923528671265
1,961,1.0,0.7187349796295166
1,1412,1.0,0.7555320858955383
1,10360,1.0,0.7347500920295715
1,10643,1.0,0.755235493183136
1,11780,1.0,0.5952481031417847
1,12115,1.0,0.5422673225402832
1,14137,1.0,0.4803788959980011
1,14267,1.0,0.6271838545799255
1,1000,1.0,0.4054708182811737
1,1861,1.0,0.7672355771064758
1,2973,1.0,0.6505839824676514
1,3135,1.0,0.607675313949585
1,5981,1.0,0.6468081474304199
1,6426,1.0,0.779763400554657
1,6638,1.0,0.7433531880378723
1,7133,1.0,0.6974471211433411
1,7538,1.0,0.7923945188522339
1,7785,1.0,0.7383682131767273
1,10717,1.0,0.568746030330658
1,10829,1.0,0.6340740323066711
1,11323,1.0,0.785206139087677
1,12115,1.0,0.6980633735656738
1,12158,1.0,0.6323122382164001
1,13037,1.0,0.5900009870529175
1,13537,1.0,0.7870660424232483
1,13763,1.0,0.7335860133171082
1,13939,1.0,0.7114839553833008
1,14137,1.0,0.6334894299507141
1,14753,1.0,0.6896588206291199
1,15621,1.0,0.7980250716209412
1,15944,1.0,0.49578267335891724
1,1412,1.0,0.7305493950843811
1,3431,1.0,0.7330843806266785
1,3866,1.0,0.7286576628684998
1,12149,1.0,0.6069948673248291
1,13040,1.0,0.7241096496582031
1,14215,1.0,0.7200003266334534
1,28,1.0,0.6861769556999207
1,726,1.0,0.7677876353263855
1,1861,1.0,0.7840807437896729
1,3135,1.0,0.6892272233963013
1,4895,1.0,0.7666812539100647
1,5369,1.0,0.7272691130638123
1,5880,1.0,0.7699759602546692
1,6300,1.0,0.4796517789363861
1,12003,1.0,0.6532265543937683
1,12246,1.0,0.5956156849861145
1,14137,1.0,0.7871890664100647
1,16132,1.0,0.7664033770561218
1,328,1.0,0.5433107614517212
1,726,1.0,0.7987165451049805
1,2794,1.0,0.7705180048942566
1,3135,1.0,0.7824440598487854
1,3152,1.0,0.6352381110191345
1,3404,1.0,0.6253280639648438
1,3604,1.0,0.7406299710273743
