swap_id,from_slug,to_slug,from_capital,to_capital,n_positions,target_appears_at,source_appears_at,flip_position,initial_gap,best_gap,final_gap,gap_closure,control_stability_mean,control_stability_max,target_first_top1,target_first_top5,target_first_top10,target_max_prob,target_min_rank,target_final_rank,target_rank_improvement,source_final_rank,source_max_prob,target_logit_delta_0,source_logit_delta_0,baseline_gap,steered_gap_0,gap_closure_0,target_rank_improvement_0,flip_at_0,baseline_target_rank,baseline_source_rank,baseline_target_prob,baseline_source_prob
alabama_birmingham__to__louisiana_new_orleans,alabama_birmingham,louisiana_new_orleans,Montgomery,Baton Rouge,11,0.0,,0.0,7.1875,16.0547,5.5,8.8672,14.1152,23.7109,9.0,0.0,0.0,0.245117,1,343,1,6609,0.000326,2.125,-10.3125,-5.25,7.1875,12.4375,156,True,158,5,0.000334,0.063477
alabama_birmingham__to__maine_portland,alabama_birmingham,maine_portland,Montgomery,Augusta,11,,,0.0,3.8125,9.8906,4.4375,6.078099999999999,12.5046,23.3125,,2.0,2.0,0.030151,4,149,94,1784,0.001167,-5.5,-12.4375,-3.125,3.8125,6.9375,-55,True,43,5,0.002792,0.063477
alabama_birmingham__to__maryland_baltimore,alabama_birmingham,maryland_baltimore,Montgomery,Annapolis,11,,,1.0,-2.5,2.625,1.625,5.125,15.7008,24.375,,,3.0,0.027832,6,15,1260,44,0.018188,-6.5,-9.5,-5.5,-2.5,3.0,-1094,False,172,5,0.000259,0.063477
alabama_birmingham__to__massachusetts_worcester,alabama_birmingham,massachusetts_worcester,Montgomery,Boston,11,,,0.0,2.75,12.7812,4.5,10.0312,13.5166,24.1719,,2.0,2.0,0.183594,2,354,79,4434,0.000584,-2.75,-11.0,-5.5,2.75,8.25,91,True,172,5,0.000259,0.063477
alabama_birmingham__to__minnesota_minneapolis,alabama_birmingham,minnesota_minneapolis,Montgomery,Saint Paul,11,0.0,,0.0,14.125,14.125,7.5,0.0,10.3664,19.0625,,0.0,0.0,0.34375,2,248,0,6193,0.000141,4.5,-16.375,-6.75,14.125,20.875,292,True,294,5,7.4e-05,0.063477
alabama_birmingham__to__missouri_kansas_city,alabama_birmingham,missouri_kansas_city,Montgomery,Jefferson City,11,,,0.0,6.0625,6.0625,0.375,0.0,12.282,22.3281,,0.0,0.0,0.030396,4,136,0,172,0.002197,-2.75,-11.6875,-2.875,6.0625,8.9375,28,True,32,5,0.003586,0.063477
alabama_birmingham__to__montana_billings,alabama_birmingham,montana_billings,Montgomery,Helena,11,0.0,,0.0,10.25,10.25,4.375,0.0,18.0398,30.1719,0.0,0.0,0.0,0.25,1,2487,0,6825,0.001839,-2.0,-15.875,-3.625,10.25,13.875,60,True,61,5,0.001694,0.063477
alabama_birmingham__to__nebraska_omaha,alabama_birmingham,nebraska_omaha,Montgomery,Lincoln,11,0.0,,0.0,10.125,10.125,2.25,0.0,13.8328,25.375,0.0,0.0,0.0,0.425781,1,464,0,1317,0.000584,0.5,-15.125,-5.5,10.125,15.625,171,True,172,5,0.000259,0.063477
alabama_birmingham__to__nevada_las_vegas,alabama_birmingham,nevada_las_vegas,Montgomery,Carson City,11,,,0.0,8.5,9.25,-1.625,0.75,12.5746,24.3984,,,0.0,0.026123,7,649,0,363,1.4e-05,3.25,-13.375,-8.125,8.5,16.625,606,True,613,5,1.9e-05,0.063477
alabama_birmingham__to__new_hampshire_manchester,alabama_birmingham,new_hampshire_manchester,Montgomery,Concord,11,,,0.0,1.5625,1.625,-2.1875,0.0625,8.9557,20.6797,,,,0.000307,216,35773,351,14926,0.000347,-0.6875,-10.625,-8.375,1.5625,9.9375,123,True,690,5,1.5e-05,0.063477
alabama_birmingham__to__new_mexico_albuquerque,alabama_birmingham,new_mexico_albuquerque,Montgomery,Santa Fe,11,,,0.0,13.3125,13.4531,6.125,0.14059999999999917,10.4896,25.5156,,0.0,0.0,0.054932,3,303,0,16316,7.8e-05,1.875,-18.3125,-6.875,13.3125,20.1875,301,True,304,5,6.6e-05,0.063477
alabama_birmingham__to__north_carolina_charlotte,alabama_birmingham,north_carolina_charlotte,Montgomery,Raleigh,11,,,0.0,4.375,9.875,1.6875,5.5,12.7707,21.875,,,,0.009155,15,1946,9,4223,0.000591,0.625,-7.75,-4.0,4.375,8.375,50,True,74,5,0.001167,0.063477
alabama_birmingham__to__ohio_cleveland,alabama_birmingham,ohio_cleveland,Montgomery,Columbus,11,,,0.0,0.9375,9.1875,3.25,8.25,14.7077,24.5,,1.0,1.0,0.026367,4,141,744,770,0.000484,-7.0,-10.9375,-3.0,0.9375,3.9375,-708,True,40,5,0.003159,0.063477
alabama_birmingham__to__oklahoma_tulsa,alabama_birmingham,oklahoma_tulsa,Montgomery,Oklahoma City,11,,,1.0,-9.9414,14.9375,14.9375,24.8789,14.2809,25.375,9.0,9.0,2.0,0.131836,1,7,146063,30011,0.00351,-21.5039,-15.5625,-4.0,-9.9414,-5.9414,-145990,False,74,5,0.001167,0.063477
alabama_birmingham__to__oregon_portland,alabama_birmingham,oregon_portland,Montgomery,Salem,11,0.0,,0.0,10.625,11.625,1.4375,1.0,15.0381,28.1299,0.0,0.0,0.0,0.601562,1,943,0,3160,0.001259,3.625,-12.875,-5.875,10.625,16.5,199,True,200,5,0.000178,0.063477
alabama_birmingham__to__pennsylvania_philadelphia,alabama_birmingham,pennsylvania_philadelphia,Montgomery,Harrisburg,11,,,0.0,5.25,5.8125,1.375,0.5625,9.8313,24.8438,,0.0,0.0,0.100586,3,44584,0,104555,0.003632,0.75,-9.25,-4.75,5.25,10.0,103,True,106,5,0.000549,0.063477
alabama_birmingham__to__rhode_island_warwick,alabama_birmingham,rhode_island_warwick,Montgomery,Providence,11,,,0.0,8.25,8.25,4.1875,0.0,16.2207,28.0156,,,5.0,0.013489,10,154,7,1713,0.008179,0.0,-13.875,-5.625,8.25,13.875,171,True,188,5,0.000229,0.063477
alabama_birmingham__to__south_carolina_charleston,alabama_birmingham,south_carolina_charleston,Montgomery,Columbia,11,0.0,,0.0,3.625,11.8438,8.25,8.2188,13.5041,23.2109,0.0,0.0,0.0,0.498047,1,31,0,1365,0.013306,4.25,-3.875,-4.5,3.625,8.125,88,True,89,5,0.000706,0.063477
alabama_birmingham__to__tennessee_memphis,alabama_birmingham,tennessee_memphis,Montgomery,Nashville,11,,,2.0,-3.8125,3.0,0.125,6.8125,13.8067,23.8438,,4.0,4.0,0.03064,4,1142,3017,1193,0.011292,-9.375,-10.0625,-4.5,-3.8125,0.6875,-2932,False,89,5,0.000706,0.063477
alabama_birmingham__to__texas_dallas,alabama_birmingham,texas_dallas,Montgomery,Austin,11,,,0.0,5.0625,8.8672,6.75,3.8047000000000004,13.6238,25.0156,,3.0,0.0,0.070801,3,25,3,486,0.001465,-1.5,-10.3125,-3.75,5.0625,8.8125,58,True,64,5,0.001495,0.063477
alabama_birmingham__to__utah_provo,alabama_birmingham,utah_provo,Montgomery,Salt Lake City,11,5.0,,0.0,10.75,23.8906,23.8906,13.1406,12.133,22.2422,5.0,2.0,2.0,0.209961,1,63,105,228091,4e-06,0.125,-18.75,-8.125,10.75,18.875,507,True,613,5,1.9e-05,0.063477
alabama_birmingham__to__vermont_burlington,alabama_birmingham,vermont_burlington,Montgomery,Montpelier,11,,,2.0,-0.3125,2.0,-0.4374,2.3125,9.5953,21.5938,,,,3.5e-05,608,23378,6184,20946,0.000399,-10.9375,-15.625,-5.0,-0.3125,4.6875,-6657,False,135,5,0.000427,0.063477
alabama_birmingham__to__virginia_virginia_beach,alabama_birmingham,virginia_virginia_beach,Montgomery,Richmond,11,,,0.0,4.6875,13.625,6.6875,8.9375,14.6159,32.1562,,,,0.002747,26,102,585,2983,0.000167,-4.375,-14.1875,-5.125,4.6875,9.8125,-458,True,153,5,0.000378,0.063477
alabama_birmingham__to__west_virginia_huntington,alabama_birmingham,west_virginia_huntington,Montgomery,Charleston,11,,,0.0,2.25,6.75,6.75,4.5,16.8738,27.875,,7.0,7.0,0.058105,3,979,21,15752,0.006226,1.875,-5.875,-5.5,2.25,7.75,148,True,172,5,0.000259,0.063477
alabama_birmingham__to__wyoming_casper,alabama_birmingham,wyoming_casper,Montgomery,Cheyenne,11,,,0.0,7.0,7.0,-5.0312,0.0,9.4359,26.6953,,,,0.00885,16,14364,201,1823,3.6e-05,-1.6875,-17.875,-9.1875,7.0,16.1875,748,True,965,5,6e-06,0.063477
alaska_anchorage__to__alabama_birmingham,alaska_anchorage,alabama_birmingham,Juneau,Montgomery,11,0.0,,0.0,20.3555,20.3555,-0.875,0.0,11.443,20.125,0.0,0.0,0.0,0.267578,1,36331,0,20071,0.001411,0.75,-25.7305,-6.125,20.3555,26.4805,70,True,71,1,0.000553,0.253906
alaska_anchorage__to__alaska_anchorage,alaska_anchorage,alaska_anchorage,Juneau,Juneau,11,,,,0.0,0.0,0.0,0.0,12.7184,31.1562,,,,4.2e-05,316,10547,182264,10547,4.2e-05,-28.3594,-28.3594,0.0,0.0,0.0,-182579,False,1,1,0.253906,0.253906
alaska_anchorage__to__arizona_tucson,alaska_anchorage,arizona_tucson,Juneau,Phoenix,11,,,0.0,22.5938,22.5938,4.9375,0.0,15.1914,23.9219,,,,0.015137,13,190,58,1024,0.000402,-2.5,-32.0938,-7.0,22.5938,29.5938,60,True,131,1,0.000231,0.253906
alaska_anchorage__to__arkansas_fayetteville,alaska_anchorage,arkansas_fayetteville,Juneau,Little Rock,11,,,0.0,10.8125,12.6406,6.4063,1.8280999999999992,19.1813,30.8281,0.0,0.0,0.0,0.075684,1,3370,0,14951,0.003998,-0.625,-17.4375,-6.0,10.8125,16.8125,61,True,62,1,0.000626,0.253906
alaska_anchorage__to__california_oakland,alaska_anchorage,california_oakland,Juneau,Sacramento,11,0.0,,0.0,15.0625,18.6562,8.6562,3.5936999999999983,15.9109,27.6562,0.0,0.0,0.0,0.535156,1,2441,0,18118,2.3e-05,4.625,-18.5625,-8.125,15.0625,23.1875,242,True,243,1,7.5e-05,0.253906
alaska_anchorage__to__colorado_colorado_springs,alaska_anchorage,colorado_colorado_springs,Juneau,Denver,11,5.0,,0.0,0.5626,22.6094,15.0312,22.0468,18.564,31.5312,5.0,2.0,2.0,0.330078,1,54,221570,23011,0.000957,-25.9062,-32.4688,-6.0,0.5626,6.5626,-221509,True,62,1,0.000626,0.253906
alaska_anchorage__to__delaware_wilmington,alaska_anchorage,delaware_wilmington,Juneau,Dover,11,,,0.0,12.9688,12.9688,-0.5,0.0,16.6381,28.0586,,0.0,0.0,0.032227,3,354,0,297,0.009399,0.125,-20.9688,-8.125,12.9688,21.0938,240,True,243,1,7.5e-05,0.253906
alaska_anchorage__to__florida_miami,alaska_anchorage,florida_miami,Juneau,Tallahassee,11,2.0,,0.0,13.875,13.875,1.0625,0.0,15.5967,28.7148,,2.0,2.0,0.137695,2,9595,45,14984,9.8e-05,-0.5,-22.375,-8.0,13.875,21.875,168,True,215,1,8.5e-05,0.253906
alaska_anchorage__to__georgia_savannah,alaska_anchorage,georgia_savannah,Juneau,Atlanta,11,5.0,,0.0,5.5488,20.5547,10.5625,15.0059,12.8219,23.2188,,2.0,2.0,0.07959,2,10,25767,1602,0.002258,-13.3125,-26.7363,-7.875,5.5488,13.4238,-25564,True,205,1,9.6e-05,0.253906
alaska_anchorage__to__hawaii_hilo,alaska_anchorage,hawaii_hilo,Juneau,Honolulu,11,1.0,,0.0,8.6543,12.1875,10.75,3.533200000000001,16.8242,29.5,,1.0,1.0,0.074219,3,18,1732,5300,2.6e-05,-12.3125,-26.4668,-5.5,8.6543,14.1543,-1689,True,46,1,0.001038,0.253906
alaska_anchorage__to__illinois_chicago,alaska_anchorage,illinois_chicago,Juneau,Springfield,11,0.0,,0.0,29.8125,29.8125,11.4375,0.0,9.8703,18.25,0.0,0.0,0.0,0.570312,1,2016,0,32071,1e-06,4.75,-32.5625,-7.5,29.8125,37.3125,168,True,169,1,0.00014,0.253906
alaska_anchorage__to__indiana_fort_wayne,alaska_anchorage,indiana_fort_wayne,Juneau,Indianapolis,11,7.0,,0.0,15.4453,15.4453,11.3125,0.0,15.4551,25.5312,7.0,4.0,2.0,0.112793,1,10,44,7658,0.004364,-0.375,-25.3203,-9.5,15.4453,24.9453,456,True,501,1,1.9e-05,0.253906
alaska_anchorage__to__iowa_cedar_rapids,alaska_anchorage,iowa_cedar_rapids,Juneau,Des Moines,11,,,0.0,12.375,12.375,1.5625,0.0,13.0936,24.8008,,0.0,0.0,0.031494,4,843,1,2267,0.04126,1.0,-20.375,-9.0,12.375,21.375,407,True,412,1,3.1e-05,0.253906
alaska_anchorage__to__kansas_wichita,alaska_anchorage,kansas_wichita,Juneau,Topeka,11,,,0.0,12.5381,14.875,13.4219,2.3369,9.9104,19.375,,3.0,3.0,0.053711,3,59,170,33411,0.000319,-3.6875,-26.1006,-9.875,12.5381,22.4131,460,True,633,1,1.3e-05,0.253906
alaska_anchorage__to__kentucky_louisville,alaska_anchorage,kentucky_louisville,Juneau,Frankfort,11,,,0.0,21.5938,21.5938,0.7812,0.0,8.7594,23.0469,,0.0,0.0,0.069824,2,14558,0,19542,2.1e-05,0.625,-27.8438,-6.875,21.5938,28.4688,124,True,126,1,0.000261,0.253906
alaska_anchorage__to__louisiana_new_orleans,alaska_anchorage,louisiana_new_orleans,Juneau,Baton Rouge,11,0.0,,0.0,14.0,17.7656,10.1953,3.765599999999999,16.7785,28.1328,0.0,0.0,0.0,0.138672,1,5883,0,78380,3.9e-05,3.0,-18.125,-7.125,14.0,21.125,142,True,143,1,0.000204,0.253906
alaska_anchorage__to__maine_portland,alaska_anchorage,maine_portland,Juneau,Augusta,11,,,0.0,9.7813,9.7813,-4.0625,0.0,12.7475,23.9062,,,9.0,0.014526,10,10009,61,1322,0.00082,-4.1875,-20.2188,-6.25,9.7813,16.0313,8,True,79,1,0.000488,0.253906
alaska_anchorage__to__maryland_baltimore,alaska_anchorage,maryland_baltimore,Juneau,Annapolis,11,8.0,,0.0,9.9687,15.3125,13.5,5.3438,16.093,23.4844,8.0,8.0,3.0,0.474609,1,4,1394,2924,1.7e-05,-4.8125,-23.2812,-8.5,9.9687,18.4687,-1089,True,306,1,5.1e-05,0.253906
alaska_anchorage__to__michigan_detroit,alaska_anchorage,michigan_detroit,Juneau,Lansing,11,5.0,,0.0,16.7266,17.918,8.625,1.191399999999998,11.1437,24.0938,5.0,5.0,0.0,0.402344,1,614,8,15703,7e-06,-0.125,-24.8516,-8.0,16.7266,24.7266,206,True,215,1,8.5e-05,0.253906
alaska_anchorage__to__minnesota_minneapolis,alaska_anchorage,minnesota_minneapolis,Juneau,Saint Paul,11,,,0.0,24.9531,24.9531,3.8438,0.0,9.4715,21.875,,0.0,0.0,0.3125,2,1824,0,8033,2.9e-05,2.875,-28.8281,-6.75,24.9531,31.7031,114,True,116,1,0.000296,0.253906
alaska_anchorage__to__mississippi_gulfport,alaska_anchorage,mississippi_gulfport,Juneau,Jackson,11,0.0,,0.0,15.5,15.5,13.75,0.0,10.2969,21.4062,0.0,0.0,0.0,0.474609,1,57,0,15508,0.002487,2.0,-21.875,-8.375,15.5,23.875,280,True,281,1,5.8e-05,0.253906
alaska_anchorage__to__missouri_kansas_city,alaska_anchorage,missouri_kansas_city,Juneau,Jefferson City,11,0.0,,0.0,17.6719,17.6719,13.4375,0.0,11.6141,19.7188,,0.0,0.0,0.140625,2,10,0,6195,0.000208,0.875,-23.5469,-6.75,17.6719,24.4219,114,True,116,1,0.000296,0.253906
alaska_anchorage__to__montana_billings,alaska_anchorage,montana_billings,Juneau,Helena,11,,,0.0,15.0,15.0,-5.625,0.0,14.5087,27.5391,0.0,0.0,0.0,0.267578,1,2519,0,152,0.021851,-1.625,-22.0,-5.375,15.0,20.375,41,True,42,1,0.001175,0.253906
alaska_anchorage__to__nevada_las_vegas,alaska_anchorage,nevada_las_vegas,Juneau,Carson City,11,0.0,,0.0,17.0625,17.0625,3.125,0.0,11.8688,24.3438,,0.0,0.0,0.074219,2,720,0,2408,2.3e-05,0.875,-22.9375,-6.75,17.0625,23.8125,114,True,116,1,0.000296,0.253906
alaska_anchorage__to__new_hampshire_manchester,alaska_anchorage,new_hampshire_manchester,Juneau,Concord,11,,,0.0,8.125,8.125,-6.4062,0.0,10.2727,23.0078,,,,0.000171,397,23686,167,145,0.00531,-0.8125,-19.375,-10.4375,8.125,18.5625,248,True,812,1,7e-06,0.253906
alaska_anchorage__to__new_jersey_newark,alaska_anchorage,new_jersey_newark,Juneau,Trenton,11,6.0,,0.0,11.1172,25.7812,14.875,14.663999999999998,11.8117,22.4844,6.0,6.0,5.0,0.227539,1,20,951,15244,0.000534,-6.625,-25.2422,-7.5,11.1172,18.6172,-783,True,169,1,0.00014,0.253906
alaska_anchorage__to__ohio_cleveland,alaska_anchorage,ohio_cleveland,Juneau,Columbus,11,,,0.0,16.0977,16.0977,2.8281,0.0,7.7262,20.9297,,,,0.000347,163,49235,0,100843,0.0,-3.8125,-26.7852,-6.875,16.0977,22.9727,-37,True,126,1,0.000261,0.253906
alaska_anchorage__to__oklahoma_tulsa,alaska_anchorage,oklahoma_tulsa,Juneau,Oklahoma City,11,2.0,,1.0,-5.6953,18.3594,10.0625,24.0547,15.1203,25.3125,,2.0,2.0,0.108887,2,7,159821,1214,0.003281,-20.9141,-21.9688,-6.75,-5.6953,1.0547,-159707,False,116,1,0.000296,0.253906
alaska_anchorage__to__oregon_portland,alaska_anchorage,oregon_portland,Juneau,Salem,11,0.0,,0.0,17.5312,17.5312,10.6875,0.0,14.2301,27.1641,0.0,0.0,0.0,0.757812,1,18,0,2837,0.000805,2.875,-21.1562,-6.5,17.5312,24.0312,92,True,93,1,0.00038,0.253906
alaska_anchorage__to__rhode_island_warwick,alaska_anchorage,rhode_island_warwick,Juneau,Providence,11,,,0.0,7.375,11.2813,7.3125,3.9063,14.6359,27.2109,,7.0,4.0,0.042725,5,1159,16,34943,0.025879,-1.5,-14.875,-6.0,7.375,13.375,41,True,62,1,0.000626,0.253906
alaska_anchorage__to__south_carolina_charleston,alaska_anchorage,south_carolina_charleston,Juneau,Columbia,11,0.0,,0.0,17.5938,18.4375,18.4375,0.8436999999999983,13.1148,23.7031,0.0,0.0,0.0,0.566406,1,17,0,50922,1.9e-05,6.75,-18.8438,-8.0,17.5938,25.5938,214,True,215,1,8.5e-05,0.253906
alaska_anchorage__to__south_dakota_sioux_falls,alaska_anchorage,south_dakota_sioux_falls,Juneau,Pierre,11,,,0.0,15.5937,15.5937,-5.5469,0.0,13.5113,27.8516,,,,0.003769,31,27906,0,3280,0.001511,-3.9375,-28.0312,-8.5,15.5937,24.0937,275,True,306,1,5.1e-05,0.253906
alaska_anchorage__to__tennessee_memphis,alaska_anchorage,tennessee_memphis,Juneau,Nashville,11,,,0.0,9.4297,12.0938,9.875,2.6640999999999995,15.2047,24.0312,,2.0,2.0,0.064941,2,865,2839,10201,0.000125,-8.1875,-25.4922,-7.875,9.4297,17.3047,-2636,True,205,1,9.6e-05,0.253906
alaska_anchorage__to__texas_dallas,alaska_anchorage,texas_dallas,Juneau,Austin,11,7.0,,0.0,15.5312,15.5312,7.375,0.0,16.2672,26.1406,7.0,4.0,0.0,0.166016,1,13,9,1282,9.5e-05,0.125,-22.9062,-7.5,15.5312,23.0312,159,True,169,1,0.00014,0.253906
alaska_anchorage__to__vermont_burlington,alaska_anchorage,vermont_burlington,Juneau,Montpelier,11,,,0.0,18.9375,18.9375,-9.75,0.0,9.3402,16.5312,,,,0.000401,175,1947,2216,10,0.068848,-4.8125,-34.4375,-10.6875,18.9375,29.625,-1487,True,904,1,6e-06,0.253906
alaska_anchorage__to__virginia_virginia_beach,alaska_anchorage,virginia_virginia_beach,Juneau,Richmond,11,7.0,,0.0,11.3906,15.8125,15.8125,4.421900000000001,16.826,30.0,7.0,7.0,7.0,0.233398,1,11,662,17236,0.000759,-2.375,-22.2656,-8.5,11.3906,19.8906,-357,True,306,1,5.1e-05,0.253906
alaska_anchorage__to__west_virginia_huntington,alaska_anchorage,west_virginia_huntington,Juneau,Charleston,11,,,0.0,8.875,9.0156,1.3125,0.14059999999999917,14.5527,27.8906,,7.0,7.0,0.044922,3,582,16,1384,0.001968,5.3125,-14.0,-10.4375,8.875,19.3125,793,True,812,1,7e-06,0.253906
alaska_anchorage__to__wisconsin_milwaukee,alaska_anchorage,wisconsin_milwaukee,Juneau,Madison,11,3.0,,0.0,10.9375,10.9375,8.9375,0.0,12.1312,20.3125,,3.0,3.0,0.090332,2,177,115,8918,0.008362,-3.1875,-22.25,-8.125,10.9375,19.0625,126,True,243,1,7.5e-05,0.253906
arizona_tucson__to__alabama_birmingham,arizona_tucson,alabama_birmingham,Phoenix,Montgomery,11,0.0,,0.0,12.1875,12.1875,0.9375,0.0,13.0,23.3438,0.0,0.0,0.0,0.170898,1,2609,0,3268,0.000244,1.375,-18.4375,-7.625,12.1875,19.8125,150,True,151,1,0.000151,0.310547
arizona_tucson__to__alaska_anchorage,arizona_tucson,alaska_anchorage,Phoenix,Juneau,11,,,0.0,9.1875,9.1875,-1.0,0.0,11.6867,23.4453,,,4.0,0.017212,6,735,158,381,0.06543,-2.625,-20.5625,-8.75,9.1875,17.9375,90,True,254,1,4.9e-05,0.310547
arizona_tucson__to__arizona_tucson,arizona_tucson,arizona_tucson,Phoenix,Phoenix,11,3.0,3.0,,0.0,0.0,0.0,0.0,7.0703,16.875,3.0,3.0,3.0,0.320312,1,40,44631,40,0.320312,-19.9062,-19.9062,0.0,0.0,0.0,-44631,False,1,1,0.310547,0.310547
arizona_tucson__to__arkansas_fayetteville,arizona_tucson,arkansas_fayetteville,Phoenix,Little Rock,11,,,0.0,7.875,7.875,-1.125,0.0,16.0688,27.1094,,0.0,0.0,0.12793,2,6659,0,3552,0.047852,2.5,-14.0,-8.625,7.875,16.5,233,True,235,1,5.6e-05,0.310547
arizona_tucson__to__california_oakland,arizona_tucson,california_oakland,Phoenix,Sacramento,11,0.0,,0.0,9.5,12.125,2.3125,2.625,11.5875,22.9062,0.0,0.0,0.0,0.269531,1,1199,0,4442,0.000713,1.25,-13.875,-5.625,9.5,15.125,55,True,56,1,0.001114,0.310547
arizona_tucson__to__colorado_colorado_springs,arizona_tucson,colorado_colorado_springs,Phoenix,Denver,11,5.0,,1.0,-11.5313,18.8281,3.625,30.3594,18.5602,31.3906,5.0,5.0,2.0,0.167969,1,23,212742,146,0.003128,-24.9688,-20.0625,-6.625,-11.5313,-4.9063,-212649,False,94,1,0.00041,0.310547
arizona_tucson__to__connecticut_bridgeport,arizona_tucson,connecticut_bridgeport,Phoenix,Hartford,11,0.0,,0.0,14.0625,14.0625,-1.1875,0.0,14.1659,23.6982,0.0,0.0,0.0,0.078125,1,11661,0,6985,0.000237,7.0,-18.1875,-11.125,14.0625,25.1875,833,True,834,1,5e-06,0.310547
arizona_tucson__to__florida_miami,arizona_tucson,florida_miami,Phoenix,Tallahassee,11,2.0,,0.0,8.375,9.5625,4.5,1.1875,17.9283,28.5098,2.0,2.0,2.0,0.181641,1,886,16,3193,0.000309,-1.25,-16.375,-6.75,8.375,15.125,89,True,106,1,0.000362,0.310547
arizona_tucson__to__georgia_savannah,arizona_tucson,georgia_savannah,Phoenix,Atlanta,11,,,0.0,2.0782,6.75,6.75,4.6718,14.9039,23.1094,,2.0,2.0,0.115723,3,111,23885,1517,0.009521,-13.4062,-23.4844,-8.0,2.0782,10.0782,-23701,True,187,1,0.000104,0.310547
arizona_tucson__to__hawaii_hilo,arizona_tucson,hawaii_hilo,Phoenix,Honolulu,11,2.0,,0.0,2.4062,15.9062,9.125,13.5,15.4684,27.8672,2.0,2.0,1.0,0.205078,1,127,1709,4231,0.016846,-8.5,-20.4062,-9.5,2.4062,11.9062,-1334,True,376,1,2.3e-05,0.310547
arizona_tucson__to__idaho_idaho_falls,arizona_tucson,idaho_idaho_falls,Phoenix,Boise,11,,,2.0,-2.3047,9.4844,2.625,11.789100000000001,13.4677,23.6738,,4.0,4.0,0.072266,3,83,50770,363,6.6e-05,-17.8047,-22.375,-6.875,-2.3047,4.5703,-50660,False,113,1,0.00032,0.310547
