condition,source,target,variant,hit_default,hit_msearch,hit_any,suppressed,n_ablate,n_amplify,n_total_features,m_tuned,msearch_phase,msearch_steps,duration_ms
auto,new_hampshire_manchester,texas_dallas,add_state,0,1,1,0,38,55,93,4.080572,2,7,
auto,new_jersey_newark,texas_dallas,add_capital,0,0,0,1,106,85,191,,,,
auto,new_jersey_newark,texas_dallas,add_capital_city,0,0,0,1,181,156,337,,,,
auto,new_jersey_newark,texas_dallas,add_city,0,0,0,1,75,71,146,,,,
auto,new_jersey_newark,texas_dallas,add_state,0,0,0,1,137,55,192,,,,
auto,new_jersey_newark,texas_dallas,add_state_capital,0,0,0,1,243,140,383,,,,
auto,new_jersey_newark,texas_dallas,add_state_capital_city,0,0,0,1,318,211,529,,,,
auto,new_jersey_newark,texas_dallas,add_state_city,0,0,0,1,212,126,338,,,,
auto,new_mexico_albuquerque,texas_dallas,add_state,0,1,1,1,80,55,135,5.318296,2,8,
auto,new_york_new_york_city,texas_dallas,add_capital,0,0,0,1,63,85,148,,,,
auto,new_york_new_york_city,texas_dallas,add_city,0,0,0,1,115,71,186,,,,
auto,new_york_new_york_city,texas_dallas,add_state,0,0,0,0,115,55,170,,,,
auto,new_york_new_york_city,texas_dallas,add_state_capital,0,0,0,1,178,140,318,,,,
auto,new_york_new_york_city,texas_dallas,add_state_city,1,0,1,1,115,126,241,,,,
auto,north_carolina_charlotte,texas_dallas,add_state,0,1,1,1,85,55,140,2.402249,1,4,
auto,north_dakota_fargo,texas_dallas,add_capital,0,0,0,1,130,85,215,,,,
auto,north_dakota_fargo,texas_dallas,add_capital_city,0,0,0,1,194,156,350,,,,
auto,north_dakota_fargo,texas_dallas,add_city,0,0,0,0,64,71,135,,,,
auto,north_dakota_fargo,texas_dallas,add_state,0,0,0,1,71,55,126,,,,
auto,north_dakota_fargo,texas_dallas,add_state_capital,0,0,0,1,201,140,341,,,,
auto,north_dakota_fargo,texas_dallas,add_state_capital_city,0,0,0,0,265,211,476,,,,
auto,north_dakota_fargo,texas_dallas,add_state_city,0,0,0,0,135,126,261,,,,
auto,ohio_cleveland,texas_dallas,add_state,0,1,1,1,55,55,110,4.080572,2,7,
auto,oklahoma_tulsa,texas_dallas,add_capital,0,0,0,1,144,85,229,,,,
auto,oklahoma_tulsa,texas_dallas,add_capital_city,0,0,0,1,217,156,373,,,,
auto,oklahoma_tulsa,texas_dallas,add_city,0,0,0,0,73,71,144,,,,
auto,oklahoma_tulsa,texas_dallas,add_state,0,0,0,1,144,55,199,,,,
auto,oklahoma_tulsa,texas_dallas,add_state_capital,0,0,0,1,144,140,284,,,,
auto,oklahoma_tulsa,texas_dallas,add_state_capital_city,0,0,0,1,217,211,428,,,,
auto,oklahoma_tulsa,texas_dallas,add_state_city,0,0,0,0,217,126,343,,,,
auto,oregon_portland,texas_dallas,add_state,0,1,1,1,45,55,100,4.080572,2,7,
auto,pennsylvania_philadelphia,texas_dallas,add_capital,0,0,0,1,92,85,177,,,,
auto,pennsylvania_philadelphia,texas_dallas,add_city,0,0,0,0,63,71,134,,,,
auto,pennsylvania_philadelphia,texas_dallas,add_state,0,0,0,1,59,55,114,,,,
auto,pennsylvania_philadelphia,texas_dallas,add_state_capital,0,0,0,1,151,140,291,,,,
auto,pennsylvania_philadelphia,texas_dallas,add_state_city,1,0,1,1,122,126,248,,,,
auto,rhode_island_warwick,texas_dallas,add_state,1,0,1,1,67,55,122,,,,
auto,south_carolina_charleston,texas_dallas,add_state,0,1,1,1,70,55,125,2.402249,1,4,
auto,south_dakota_sioux_falls,texas_dallas,add_capital,0,0,0,1,108,85,193,,,,
auto,south_dakota_sioux_falls,texas_dallas,add_capital_city,0,0,0,1,324,156,480,,,,
auto,south_dakota_sioux_falls,texas_dallas,add_city,0,0,0,1,216,71,287,,,,
auto,south_dakota_sioux_falls,texas_dallas,add_state,0,0,0,1,76,55,131,,,,
auto,south_dakota_sioux_falls,texas_dallas,add_state_capital,0,0,0,1,184,140,324,,,,
auto,south_dakota_sioux_falls,texas_dallas,add_state_capital_city,0,0,0,1,400,211,611,,,,
auto,south_dakota_sioux_falls,texas_dallas,add_state_city,0,0,0,1,292,126,418,,,,
auto,tennessee_memphis,texas_dallas,add_state,0,1,1,1,63,55,118,4.080572,2,7,
auto,utah_provo,texas_dallas,add_state,0,1,1,1,51,55,106,6.931448,1,5,
auto,vermont_burlington,texas_dallas,add_state,0,1,1,1,42,55,97,4.080572,2,7,
auto,virginia_virginia_beach,texas_dallas,add_capital,0,0,0,1,79,85,164,,,,
auto,virginia_virginia_beach,texas_dallas,add_city,0,0,0,0,335,71,406,,,,
auto,virginia_virginia_beach,texas_dallas,add_state,0,0,0,1,121,55,176,,,,
auto,virginia_virginia_beach,texas_dallas,add_state_capital,0,1,1,1,200,140,340,6.931448,1,5,
auto,washington_seattle,texas_dallas,add_state,0,1,1,1,60,55,115,4.080572,2,7,
auto,west_virginia_huntington,texas_dallas,add_state,0,1,1,1,75,55,130,2.402249,1,4,
auto,wisconsin_milwaukee,texas_dallas,add_capital,0,0,0,1,100,85,185,,,,
auto,wisconsin_milwaukee,texas_dallas,add_capital_city,0,0,0,1,172,156,328,,,,
auto,wisconsin_milwaukee,texas_dallas,add_city,0,0,0,0,72,71,143,,,,
auto,wisconsin_milwaukee,texas_dallas,add_state,0,0,0,1,71,55,126,,,,
auto,wisconsin_milwaukee,texas_dallas,add_state_capital,0,0,0,1,171,140,311,,,,
auto,wisconsin_milwaukee,texas_dallas,add_state_capital_city,0,0,0,1,243,211,454,,,,
auto,wisconsin_milwaukee,texas_dallas,add_state_city,0,0,0,1,143,126,269,,,,
auto,wyoming_casper,texas_dallas,add_state,0,1,1,1,60,55,115,6.931448,1,5,
auto_top21,alabama_birmingham,texas_dallas,add_state,0,1,1,0,49,9,58,2.402249,1,4,
auto_top21,alaska_anchorage,texas_dallas,add_state,0,1,1,1,67,9,76,4.080572,2,7,
auto_top21,arizona_tucson,texas_dallas,add_state,0,1,1,1,59,9,68,2.402249,1,4,
auto_top21,arkansas_fayetteville,texas_dallas,add_capital,0,0,0,1,120,3,123,,,,
auto_top21,arkansas_fayetteville,texas_dallas,add_capital_city,0,0,0,1,213,5,218,,,,
auto_top21,arkansas_fayetteville,texas_dallas,add_city,0,0,0,1,93,2,95,,,,
auto_top21,arkansas_fayetteville,texas_dallas,add_state,0,0,0,1,52,9,61,,,,
auto_top21,arkansas_fayetteville,texas_dallas,add_state_capital,0,0,0,1,172,12,184,,,,
auto_top21,arkansas_fayetteville,texas_dallas,add_state_capital_city,0,0,0,0,265,14,279,,,,
auto_top21,arkansas_fayetteville,texas_dallas,add_state_city,0,0,0,1,145,11,156,,,,
auto_top21,california_oakland,texas_dallas,add_state,0,1,1,1,50,9,59,0.832553,1,3,
auto_top21,colorado_colorado_springs,texas_dallas,add_capital,0,0,0,0,83,3,86,,,,
auto_top21,colorado_colorado_springs,texas_dallas,add_capital_city,0,0,0,1,406,5,411,,,,
auto_top21,colorado_colorado_springs,texas_dallas,add_city,0,0,0,1,323,2,325,,,,
auto_top21,colorado_colorado_springs,texas_dallas,add_state,0,0,0,1,113,9,122,,,,
auto_top21,colorado_colorado_springs,texas_dallas,add_state_capital,0,0,0,1,196,12,208,,,,
auto_top21,colorado_colorado_springs,texas_dallas,add_state_capital_city,0,0,0,1,519,14,533,,,,
auto_top21,colorado_colorado_springs,texas_dallas,add_state_city,0,0,0,0,436,11,447,,,,
auto_top21,connecticut_bridgeport,texas_dallas,add_capital,0,0,0,0,88,3,91,,,,
auto_top21,connecticut_bridgeport,texas_dallas,add_capital_city,0,0,0,1,188,5,193,,,,
auto_top21,connecticut_bridgeport,texas_dallas,add_city,0,0,0,1,100,2,102,,,,
auto_top21,connecticut_bridgeport,texas_dallas,add_state,0,0,0,1,62,9,71,,,,
auto_top21,connecticut_bridgeport,texas_dallas,add_state_capital,0,0,0,0,150,12,162,,,,
auto_top21,connecticut_bridgeport,texas_dallas,add_state_capital_city,0,0,0,1,250,14,264,,,,
auto_top21,connecticut_bridgeport,texas_dallas,add_state_city,0,0,0,1,162,11,173,,,,
auto_top21,delaware_wilmington,texas_dallas,add_state,0,1,1,1,54,9,63,2.402249,1,4,
auto_top21,florida_miami,texas_dallas,add_state,0,1,1,1,59,9,68,2.402249,1,4,
auto_top21,georgia_savannah,texas_dallas,add_state,0,1,1,1,56,9,65,6.931448,1,5,
auto_top21,hawaii_hilo,texas_dallas,add_state,0,1,1,1,73,9,82,2.402249,1,4,
auto_top21,idaho_idaho_falls,texas_dallas,add_capital,0,0,0,0,102,3,105,,,,
auto_top21,idaho_idaho_falls,texas_dallas,add_capital_city,0,0,0,1,432,5,437,,,,
auto_top21,idaho_idaho_falls,texas_dallas,add_city,0,0,0,0,330,2,332,,,,
auto_top21,idaho_idaho_falls,texas_dallas,add_state,0,0,0,1,102,9,111,,,,
