from_slug,to_slug,winning_variant,used_m_tuned,hit,best_gap,n_ablate_labeled,n_amplify_labeled,n_ablate_in_features_json,n_amplify_in_features_json,ref_sum_src,ref_sum_tgt,src_total_influence,tgt_total_influence
arkansas_fayetteville,kansas_wichita,add_state_capital_city,0,0,12.140600,69,90,69,90,0.088696,0.110377,0.373812,0.358014
arkansas_fayetteville,kentucky_louisville,add_capital,0,0,16.031200,37,37,37,37,0.059502,0.062804,0.373812,0.370874
arkansas_fayetteville,louisiana_new_orleans,add_state_capital_city,0,1,14.562500,69,94,69,94,0.088696,0.126892,0.373812,0.374783
arkansas_fayetteville,maine_portland,add_state_city,0,0,7.812500,32,34,32,34,0.029194,0.045086,0.373812,0.372282
arkansas_fayetteville,maryland_baltimore,add_capital_city,0,1,12.328100,60,70,60,70,0.079819,0.102851,0.373812,0.368646
arkansas_fayetteville,massachusetts_worcester,add_state,0,0,16.593800,9,13,9,13,0.008877,0.020158,0.373812,0.352601
arkansas_fayetteville,michigan_detroit,add_state_capital,0,1,10.265600,46,51,46,51,0.068380,0.101160,0.373812,0.386487
arkansas_fayetteville,minnesota_minneapolis,add_state_capital,0,1,10.484400,46,55,46,55,0.068380,0.096128,0.373812,0.370028
arkansas_fayetteville,mississippi_gulfport,add_state_capital_city,0,1,16.546900,69,137,69,137,0.088696,0.121311,0.373812,0.384483
arkansas_fayetteville,missouri_kansas_city,add_capital,0,1,7.750000,37,36,37,36,0.059502,0.053523,0.373812,0.369270
arkansas_fayetteville,montana_billings,add_state,0,0,10.968800,9,12,9,12,0.008877,0.023931,0.373812,0.383869
arkansas_fayetteville,nebraska_omaha,add_state_capital,0,1,10.125000,46,62,46,62,0.068380,0.100701,0.373812,0.370031
arkansas_fayetteville,nevada_las_vegas,add_state_capital_city,1,1,9.156200,0,169,69,100,0.088696,0.110727,0.373812,0.366517
arkansas_fayetteville,new_hampshire_manchester,add_capital,0,0,5.843700,37,23,37,23,0.059502,0.027652,0.373812,0.352572
arkansas_fayetteville,new_jersey_newark,add_state_capital_city,0,1,16.734400,69,87,69,87,0.088696,0.111931,0.373812,0.369477
arkansas_fayetteville,new_mexico_albuquerque,add_capital_city,1,1,10.460900,0,127,60,67,0.079819,0.099616,0.373812,0.379016
arkansas_fayetteville,new_york_new_york_city,add_capital_city,0,1,8.812500,60,68,60,68,0.079819,0.078929,0.373812,0.365365
arkansas_fayetteville,north_carolina_charlotte,add_capital,0,1,19.125000,37,35,37,35,0.059502,0.058635,0.373812,0.382753
arkansas_fayetteville,north_dakota_fargo,add_state,0,1,8.125000,9,17,9,17,0.008877,0.031885,0.373812,0.361384
arkansas_fayetteville,ohio_cleveland,add_state_capital_city,0,1,8.312500,69,67,69,67,0.088696,0.107001,0.373812,0.364836
arkansas_fayetteville,oklahoma_tulsa,add_state_capital_city,0,0,16.265600,69,73,69,73,0.088696,0.117384,0.373812,0.361343
arkansas_fayetteville,oregon_portland,add_capital_city,0,1,17.343800,60,56,60,56,0.079819,0.067091,0.373812,0.372729
arkansas_fayetteville,pennsylvania_philadelphia,add_state_capital,0,1,10.359400,46,49,46,49,0.068380,0.078236,0.373812,0.376081
arkansas_fayetteville,rhode_island_warwick,add_state,0,0,12.750000,9,14,9,14,0.008877,0.014348,0.373812,0.355691
arkansas_fayetteville,south_carolina_charleston,add_state_capital_city,0,1,15.593800,69,71,69,71,0.088696,0.097522,0.373812,0.377861
arkansas_fayetteville,south_dakota_sioux_falls,add_capital,0,0,5.187500,37,43,37,43,0.059502,0.041289,0.373812,0.375499
arkansas_fayetteville,tennessee_memphis,add_state,0,1,13.218800,9,13,9,13,0.008877,0.027131,0.373812,0.355138
arkansas_fayetteville,texas_dallas,add_state,0,0,11.156300,9,16,9,16,0.008877,0.039049,0.373812,0.363766
arkansas_fayetteville,utah_provo,add_city,0,1,18.812500,23,45,23,45,0.020316,0.037427,0.373812,0.354970
