dataset,entity,G_Repl,S_Repl,G_Comp,S_Comp,n_nodes,n_features,n_error_nodes,n_embed_nodes,n_logit_nodes,n_features_pinned,n_features_total,pinned_fraction
usa_states_batch,massachusetts_Worcester,0.7322095072024442,0.7066199289026531,0.9040877470417388,0.891117262947862,354,262,73,9,10,250,262,0.9541984732824428
usa_states_batch,michigan_Detroit,0.6967783712950382,0.6875859008044134,0.8939060986676477,0.8892283646320729,329,239,71,9,10,232,239,0.9707112970711297
usa_states_batch,minnesota_Minneapolis,0.7247502277088523,0.7059811794711716,0.9042582360545905,0.8950107521670667,360,269,72,9,10,260,269,0.966542750929368
usa_states_batch,mississippi_Gulfport,0.6563747742078009,0.6340634837098398,0.8800371107327764,0.8677527141876417,462,359,83,10,10,345,359,0.9610027855153204
usa_states_batch,missouri_kansas_city,0.7417691915393047,0.7245880443861191,0.9111321304078668,0.9029719885690866,395,297,78,10,10,283,297,0.9528619528619529
usa_states_batch,montana_Billings,0.7025857544600369,0.6760347756944166,0.8976545218387912,0.8841394489787994,382,287,76,9,10,277,287,0.9651567944250871
usa_states_batch,nebraska_Omaha,0.7316517896444321,0.721562628878475,0.905889725769187,0.9009860771108512,363,277,67,9,10,268,277,0.9675090252707581
usa_states_batch,nevada_las_vegas,0.723275863176913,0.6764025030453829,0.9028568113697182,0.878529943608902,411,314,77,10,10,297,314,0.945859872611465
usa_states_batch,new_hampshire_manchester,0.7369370747629157,0.7224352900199685,0.904126440428249,0.8968106423721443,357,264,74,9,10,255,264,0.9659090909090909
usa_states_batch,new_jersey_newark,0.6986664997286844,0.6899351873388698,0.8948547735230467,0.8904389330441007,358,261,78,9,10,255,261,0.9770114942528736
usa_states_batch,new_mexico_albuquerque,0.7128959538553031,0.6874661128116295,0.9006630876155759,0.8878644514266634,349,258,72,9,10,250,258,0.9689922480620154
usa_states_batch,new_york_new_york_city,0.7050495595129903,0.6909580934175604,0.8968787452701126,0.8897485140835907,415,311,83,11,10,301,311,0.9678456591639871
usa_states_batch,north_carolina_charlotte,0.6927539600667895,0.6845213237714831,0.8940502097453829,0.8899029068479535,369,273,77,9,10,266,273,0.9743589743589743
usa_states_batch,north_dakota_fargo,0.7107901423761269,0.6647512345690215,0.8964056793491646,0.8715978529163255,363,266,78,9,10,252,266,0.9473684210526315
usa_states_batch,ohio_Cleveland,0.7229032286420729,0.6970250862291587,0.9020511601172353,0.8889275741432702,340,244,77,9,10,233,244,0.9549180327868853
usa_states_batch,oklahoma_Tulsa,0.7535932846740557,0.7464954238177284,0.9129201656034183,0.9095599635987829,332,242,71,9,10,235,242,0.9710743801652892
usa_states_batch,oregon_Portland,0.7243776186693932,0.6952187943916437,0.9039091828433983,0.8892868754175428,358,264,75,9,10,250,264,0.946969696969697
usa_states_batch,pennsylvania_Philadelphia,0.7029328025954291,0.6876933779903489,0.8967154276169507,0.8890107497771076,343,251,73,9,10,243,251,0.9681274900398407
usa_states_batch,rhode_island_warwick,0.7170098937244336,0.7039743218839385,0.8962434442411987,0.8894542604802673,353,263,71,9,10,253,263,0.9619771863117871
usa_states_batch,south_carolina_charleston,0.7025254409965556,0.6762994588170803,0.8957212078510803,0.882127470183457,367,271,77,9,10,258,271,0.9520295202952029
usa_states_batch,south_dakota_sioux_falls,0.722586877778897,0.698376636637845,0.904872399306673,0.8929849423917361,455,356,79,10,10,341,356,0.9578651685393258
usa_states_batch,tennessee_Memphis,0.7360086509902704,0.7091560982185103,0.9047716495404721,0.8911126055671874,355,263,73,9,10,256,263,0.973384030418251
usa_states_batch,texas_Dallas,0.7368921609387762,0.7283324157186261,0.9082781445901741,0.9041811042287522,338,245,74,9,10,239,245,0.9755102040816327
usa_states_batch,utah_Provo,0.7056293107324139,0.6977265893891307,0.8954709136762414,0.8914489885207139,369,278,72,9,10,271,278,0.9748201438848921
