from_slug,to_slug,winning_variant,used_m_tuned,hit,best_gap,n_ablate_labeled,n_amplify_labeled,n_ablate_in_features_json,n_amplify_in_features_json,ref_sum_src,ref_sum_tgt,src_total_influence,tgt_total_influence
elizabeth_bennet,atticus_finch,add_book_author,0,1,26.406200,51,68,51,68,0.089048,0.108991,0.401960,0.402358
elizabeth_bennet,captain_ahab,add_book,0,1,21.109400,20,29,20,29,0.043584,0.066373,0.401960,0.399964
elizabeth_bennet,dracula,add_author,0,0,12.968800,31,38,31,38,0.045464,0.059728,0.401960,0.392970
elizabeth_bennet,ebenezer_scrooge,add_character_book_author,0,0,20.046900,124,136,124,136,0.191590,0.212930,0.401960,0.414550
elizabeth_bennet,edmond_dantes,add_character_book_author,0,0,23.000000,124,177,124,177,0.191590,0.173020,0.401960,0.410286
elizabeth_bennet,elizabeth_bennet,add_author,0,0,0.000000,31,0,31,0,0.045464,0.000000,0.401960,0.401960
elizabeth_bennet,emma_bovary,add_author,0,1,15.125000,31,51,31,51,0.045464,0.066259,0.401960,0.412386
elizabeth_bennet,frodo_baggins,add_book,0,0,15.937500,20,34,20,34,0.043584,0.080611,0.401960,0.413307
elizabeth_bennet,gregor_samsa,add_book,1,1,25.875000,0,40,20,20,0.043584,0.027791,0.401960,0.395718
elizabeth_bennet,huckleberry_finn,add_author,0,0,18.187500,31,45,31,45,0.045464,0.052487,0.401960,0.385867
elizabeth_bennet,jay_gatsby,add_author,0,1,24.375000,31,46,31,46,0.045464,0.072423,0.401960,0.413165
elizabeth_bennet,jean_valjean,add_book_author,0,1,18.031200,51,65,51,65,0.089048,0.083439,0.401960,0.385766
elizabeth_bennet,katniss_everdeen,add_book_author,0,1,23.328100,51,63,51,63,0.089048,0.104807,0.401960,0.397431
elizabeth_bennet,raskolnikov,add_character_book,1,1,19.593800,0,198,93,105,0.146126,0.099829,0.401960,0.374571
elizabeth_bennet,winston_smith,add_book_author,0,0,23.648400,51,52,51,52,0.089048,0.108922,0.401960,0.402036
emma_bovary,atticus_finch,add_book_author,0,1,27.531200,223,68,223,68,0.216948,0.108991,0.412386,0.402358
emma_bovary,captain_ahab,add_book,0,1,24.632800,172,29,172,29,0.150690,0.066373,0.412386,0.399964
emma_bovary,dracula,add_character_author,0,0,25.687500,231,114,231,114,0.221999,0.163783,0.412386,0.392970
emma_bovary,ebenezer_scrooge,add_book,0,1,23.281200,172,26,172,26,0.150690,0.069912,0.412386,0.414550
emma_bovary,edmond_dantes,add_character_author,0,0,5.625000,231,162,231,162,0.221999,0.157955,0.412386,0.410286
emma_bovary,elizabeth_bennet,add_book_author,0,1,20.304700,223,51,223,51,0.216948,0.089048,0.412386,0.401960
emma_bovary,emma_bovary,add_author,0,1,0.000000,51,0,51,0,0.066259,0.000000,0.412386,0.412386
emma_bovary,frodo_baggins,add_book,0,0,22.320300,172,34,172,34,0.150690,0.080611,0.412386,0.413307
emma_bovary,gregor_samsa,add_book,0,0,7.625000,172,20,172,20,0.150690,0.027791,0.412386,0.395718
emma_bovary,huckleberry_finn,add_character_book_author,0,0,29.000000,403,305,403,305,0.372689,0.303928,0.412386,0.385867
emma_bovary,jay_gatsby,add_character,0,1,24.984400,180,76,180,76,0.155740,0.110476,0.412386,0.413165
emma_bovary,jean_valjean,add_book,0,1,4.750000,172,26,172,26,0.150690,0.047902,0.412386,0.385766
emma_bovary,katniss_everdeen,add_book,0,1,25.218800,172,20,172,20,0.150690,0.055459,0.412386,0.397431
emma_bovary,raskolnikov,add_character,0,0,18.937500,180,79,180,79,0.155740,0.050772,0.412386,0.374571
emma_bovary,winston_smith,add_book,0,0,20.531200,172,19,172,19,0.150690,0.066463,0.412386,0.402036
frodo_baggins,atticus_finch,add_book_author,0,1,20.439500,74,68,74,68,0.134719,0.108991,0.413307,0.402358
frodo_baggins,captain_ahab,add_book_author,0,1,11.625000,74,58,74,58,0.134719,0.103688,0.413307,0.399964
frodo_baggins,dracula,add_character_book_author,0,0,14.904300,110,180,110,180,0.154372,0.252736,0.413307,0.392970
frodo_baggins,ebenezer_scrooge,add_book_author,0,0,23.437500,74,71,74,71,0.134719,0.149134,0.413307,0.414550
frodo_baggins,edmond_dantes,add_book_author,0,0,17.531200,74,67,74,67,0.134719,0.089070,0.413307,0.410286
frodo_baggins,elizabeth_bennet,add_book,0,1,15.968800,34,20,34,20,0.080611,0.043584,0.413307,0.401960
frodo_baggins,emma_bovary,add_book_author,0,0,17.093700,74,223,74,223,0.134719,0.216948,0.413307,0.412386
frodo_baggins,frodo_baggins,add_book,0,1,0.000000,34,0,34,0,0.080611,0.000000,0.413307,0.413307
frodo_baggins,gregor_samsa,add_book,1,1,18.890600,0,54,34,20,0.080611,0.027791,0.413307,0.395718
frodo_baggins,huckleberry_finn,add_author,0,0,19.640600,40,45,40,45,0.054108,0.052487,0.413307,0.385867
frodo_baggins,jay_gatsby,add_character_author,0,1,14.250000,76,122,76,122,0.073762,0.182899,0.413307,0.413165
frodo_baggins,jean_valjean,add_book_author,0,1,19.398400,74,65,74,65,0.134719,0.083439,0.413307,0.385766
frodo_baggins,katniss_everdeen,add_book_author,0,1,24.125000,74,63,74,63,0.134719,0.104807,0.413307,0.397431
frodo_baggins,raskolnikov,add_character_book,0,1,20.035200,70,105,70,105,0.100264,0.099829,0.413307,0.374571
frodo_baggins,winston_smith,add_book_author,0,1,19.812500,74,52,74,52,0.134719,0.108922,0.413307,0.402036
gregor_samsa,atticus_finch,add_book_author,0,1,31.500000,60,68,60,68,0.076076,0.108991,0.395718,0.402358
gregor_samsa,captain_ahab,add_book_author,0,1,18.968800,60,58,60,58,0.076076,0.103688,0.395718,0.399964
gregor_samsa,dracula,add_book_author,0,0,15.578100,60,104,60,104,0.076076,0.148681,0.395718,0.392970
gregor_samsa,ebenezer_scrooge,add_book_author,0,0,24.875000,60,71,60,71,0.076076,0.149134,0.395718,0.414550
gregor_samsa,edmond_dantes,add_book_author,0,0,22.812500,60,67,60,67,0.076076,0.089070,0.395718,0.410286
gregor_samsa,elizabeth_bennet,add_book_author,0,1,28.281200,60,51,60,51,0.076076,0.089048,0.395718,0.401960
gregor_samsa,emma_bovary,add_author,0,1,18.234400,40,51,40,51,0.048285,0.066259,0.395718,0.412386
gregor_samsa,frodo_baggins,add_book,0,0,24.326200,20,34,20,34,0.027791,0.080611,0.395718,0.413307
gregor_samsa,gregor_samsa,add_author,0,1,0.000000,40,0,40,0,0.048285,0.000000,0.395718,0.395718
gregor_samsa,huckleberry_finn,add_character_book_author,0,0,26.687500,189,305,189,305,0.153412,0.303928,0.395718,0.385867
gregor_samsa,jay_gatsby,add_character_book_author,0,1,21.750000,189,197,189,197,0.153412,0.295411,0.395718,0.413165
gregor_samsa,jean_valjean,add_book,0,1,18.593800,20,26,20,26,0.027791,0.047902,0.395718,0.385766
gregor_samsa,katniss_everdeen,add_book_author,0,1,27.406200,60,63,60,63,0.076076,0.104807,0.395718,0.397431
gregor_samsa,raskolnikov,add_character,0,0,15.179700,129,79,129,79,0.077336,0.050772,0.395718,0.374571
gregor_samsa,winston_smith,add_book_author,0,1,10.062500,60,52,60,52,0.076076,0.108922,0.395718,0.402036
huckleberry_finn,atticus_finch,add_book_author,0,1,22.875000,176,68,176,68,0.179673,0.108991,0.385867,0.402358
huckleberry_finn,captain_ahab,add_book,0,1,20.843800,131,29,131,29,0.127186,0.066373,0.385867,0.399964
huckleberry_finn,dracula,add_character_book,0,0,12.886700,260,142,260,142,0.251442,0.193008,0.385867,0.392970
huckleberry_finn,ebenezer_scrooge,add_book,0,1,13.812500,131,26,131,26,0.127186,0.069912,0.385867,0.414550
huckleberry_finn,edmond_dantes,add_book_author,0,0,14.815400,176,67,176,67,0.179673,0.089070,0.385867,0.410286
huckleberry_finn,elizabeth_bennet,add_book,0,1,22.578100,131,20,131,20,0.127186,0.043584,0.385867,0.401960
huckleberry_finn,emma_bovary,add_author,0,1,9.437500,45,51,45,51,0.052487,0.066259,0.385867,0.412386
huckleberry_finn,frodo_baggins,add_book,0,0,24.828100,131,34,131,34,0.127186,0.080611,0.385867,0.413307
huckleberry_finn,gregor_samsa,add_book,0,0,22.937500,131,20,131,20,0.127186,0.027791,0.385867,0.395718
huckleberry_finn,huckleberry_finn,add_author,0,1,0.000000,45,0,45,0,0.052487,0.000000,0.385867,0.385867
huckleberry_finn,jay_gatsby,add_character,0,1,19.250000,129,76,129,76,0.124256,0.110476,0.385867,0.413165
huckleberry_finn,jean_valjean,add_book,0,1,10.000000,131,26,131,26,0.127186,0.047902,0.385867,0.385766
huckleberry_finn,katniss_everdeen,add_book,0,1,29.406200,131,20,131,20,0.127186,0.055459,0.385867,0.397431
huckleberry_finn,raskolnikov,add_book,0,0,16.812500,131,26,131,26,0.127186,0.049057,0.385867,0.374571
huckleberry_finn,winston_smith,add_book_author,0,1,22.515600,176,52,176,52,0.179673,0.108922,0.385867,0.402036
jay_gatsby,atticus_finch,add_book_author,0,1,16.812500,121,68,121,68,0.184935,0.108991,0.413165,0.402358
jay_gatsby,captain_ahab,add_book_author,0,1,19.343800,121,58,121,58,0.184935,0.103688,0.413165,0.399964
jay_gatsby,dracula,add_character_author,0,0,12.062500,122,114,122,114,0.182899,0.163783,0.413165,0.392970
jay_gatsby,ebenezer_scrooge,add_book,0,1,6.750000,75,26,75,26,0.112512,0.069912,0.413165,0.414550
jay_gatsby,edmond_dantes,add_author,0,1,21.046900,46,52,46,52,0.072423,0.074005,0.413165,0.410286
jay_gatsby,elizabeth_bennet,add_book_author,0,1,23.125000,121,51,121,51,0.184935,0.089048,0.413165,0.401960
jay_gatsby,emma_bovary,add_author,0,1,16.437500,46,51,46,51,0.072423,0.066259,0.413165,0.412386
jay_gatsby,frodo_baggins,add_book,0,0,24.291000,75,34,75,34,0.112512,0.080611,0.413165,0.413307
jay_gatsby,gregor_samsa,add_book_author,0,0,14.039100,121,60,121,60,0.184935,0.076076,0.413165,0.395718
jay_gatsby,huckleberry_finn,add_character_author,0,0,17.902300,122,174,122,174,0.182899,0.176742,0.413165,0.385867
jay_gatsby,jay_gatsby,add_author,0,1,0.000000,46,0,46,0,0.072423,0.000000,0.413165,0.413165
jay_gatsby,jean_valjean,add_book_author,0,1,14.750000,121,65,121,65,0.184935,0.083439,0.413165,0.385766
jay_gatsby,katniss_everdeen,add_book_author,0,1,31.062500,121,63,121,63,0.184935,0.104807,0.413165,0.397431
jay_gatsby,raskolnikov,add_book_author,0,0,14.250000,121,38,121,38,0.184935,0.062480,0.413165,0.374571
jay_gatsby,winston_smith,add_book_author,0,1,23.304700,121,52,121,52,0.184935,0.108922,0.413165,0.402036
jean_valjean,atticus_finch,add_book_author,0,1,24.250000,65,68,65,68,0.083439,0.108991,0.385766,0.402358
jean_valjean,captain_ahab,add_book,0,1,16.718800,26,29,26,29,0.047902,0.066373,0.385766,0.399964
jean_valjean,dracula,add_character_book_author,1,1,10.140600,0,345,165,180,0.169343,0.252736,0.385766,0.392970
jean_valjean,ebenezer_scrooge,add_book,0,1,9.437500,26,26,26,26,0.047902,0.069912,0.385766,0.414550
jean_valjean,edmond_dantes,add_book_author,0,1,2.875000,65,67,65,67,0.083439,0.089070,0.385766,0.410286
jean_valjean,elizabeth_bennet,add_book,0,1,25.500000,26,20,26,20,0.047902,0.043584,0.385766,0.401960
