from_slug,to_slug,hit,vsmax,target_rank,rank_in_group,from_suppressed,flipped,regime,winning_replicate,winning_kind,winning_M,winning_source_file
girl_pearl_earring,nighthawks,0,-0.5625,142,2,1,1,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/girl_pearl_earring/to_nighthawks__r1.json
girl_pearl_earring,persistence_of_memory,0,1.0625,311,1,1,1,D,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/girl_pearl_earring/to_persistence_of_memory__r2.json
girl_pearl_earring,starry_night,0,2.9375,49,1,1,1,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/girl_pearl_earring/to_starry_night__r1.json
girl_pearl_earring,the_scream,0,3.8125,83,1,0,1,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/girl_pearl_earring/to_the_scream__r0.json
girl_pearl_earring,water_lilies,0,0.4375,163,1,0,1,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/girl_pearl_earring/to_water_lilies__r0.json
grande_jatte,birth_of_venus,0,2.5,1680,1,1,1,A,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/grande_jatte/to_birth_of_venus__r2.json
grande_jatte,campbells_soup,0,-0.75,892,2,1,1,E,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/grande_jatte/to_campbells_soup__r1.json
grande_jatte,girl_pearl_earring,0,6.125,169,1,1,1,E,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/grande_jatte/to_girl_pearl_earring__r2.json
grande_jatte,guernica,0,-0.1875,268,2,1,1,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/grande_jatte/to_guernica__r1.json
grande_jatte,nighthawks,0,-0.5156,50,2,1,1,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/grande_jatte/to_nighthawks__r1.json
grande_jatte,persistence_of_memory,0,-0.4375,4495,2,0,1,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/grande_jatte/to_persistence_of_memory__r0.json
grande_jatte,starry_night,0,2.25,57,1,0,0,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/grande_jatte/to_starry_night__r0.json
grande_jatte,the_scream,0,-0.6875,15,2,0,1,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/grande_jatte/to_the_scream__r0.json
grande_jatte,water_lilies,1,,,,1,0,,r1,m_tuned,4.080572,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/grande_jatte/to_water_lilies__r1__m_tuned.json
guernica,birth_of_venus,0,-1.8125,3381,3,1,1,E,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/guernica/to_birth_of_venus__r0.json
guernica,campbells_soup,0,-0.75,1896,2,1,1,C,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/guernica/to_campbells_soup__r2.json
guernica,girl_pearl_earring,0,2.375,1274,1,1,1,A,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/guernica/to_girl_pearl_earring__r1.json
guernica,grande_jatte,0,1.1876,21,1,0,1,C,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/guernica/to_grande_jatte__r1.json
guernica,nighthawks,0,-0.625,729,4,1,0,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/guernica/to_nighthawks__r1.json
guernica,persistence_of_memory,0,5.2539,15,1,1,1,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/guernica/to_persistence_of_memory__r0.json
guernica,starry_night,0,1.375,76,1,1,1,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/guernica/to_starry_night__r0.json
guernica,the_scream,0,1.625,352,1,1,0,D,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/guernica/to_the_scream__r2.json
guernica,water_lilies,0,-0.75,821,2,0,1,C,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/guernica/to_water_lilies__r2.json
nighthawks,birth_of_venus,0,2.875,1791,1,0,1,A,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/nighthawks/to_birth_of_venus__r2.json
nighthawks,campbells_soup,0,0.125,82,1,1,1,E,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/nighthawks/to_campbells_soup__r2.json
nighthawks,girl_pearl_earring,0,2.375,3999,1,1,1,A,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/nighthawks/to_girl_pearl_earring__r1.json
nighthawks,grande_jatte,0,-0.625,27,2,0,1,C,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/nighthawks/to_grande_jatte__r0.json
nighthawks,guernica,0,0.3125,183,1,1,1,A,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/nighthawks/to_guernica__r2.json
