from_slug,to_slug,hit,vsmax,target_rank,rank_in_group,from_suppressed,flipped,regime,winning_replicate,winning_kind,winning_M,winning_source_file
model_s,wordpress,0,-1.375,617,5,0,0,,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/model_s/to_wordpress__r1.json
nike_shoes,alibaba,0,-1.875,468,4,1,1,E,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/nike_shoes/to_alibaba__r1.json
nike_shoes,dell_xps,0,3.5,81,1,1,1,C,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/nike_shoes/to_dell_xps__r1.json
nike_shoes,dyson,0,1.9375,35,1,1,1,C,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/nike_shoes/to_dyson__r0.json
nike_shoes,facebook,0,-0.3125,81,2,1,1,E,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/nike_shoes/to_facebook__r1.json
nike_shoes,iphone,0,-2.0,491,3,1,1,E,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/nike_shoes/to_iphone__r1.json
nike_shoes,model_s,0,7.875,5933,1,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/nike_shoes/to_model_s__r0.json
nike_shoes,oculus,0,-3.25,3098,4,1,0,,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/nike_shoes/to_oculus__r1.json
nike_shoes,oracle_db,0,2.0625,233,1,1,1,A,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/nike_shoes/to_oracle_db__r2.json
nike_shoes,twitter,0,-1.125,468,5,1,1,E,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/nike_shoes/to_twitter__r2.json
nike_shoes,windows,0,4.875,1,1,1,1,C,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/nike_shoes/to_windows__r2.json
nike_shoes,wordpress,0,-1.25,2472,2,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/nike_shoes/to_wordpress__r0.json
oculus,alibaba,0,0.0,175,1,1,1,E,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oculus/to_alibaba__r2.json
oculus,dell_xps,0,0.5625,53,1,1,1,C,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oculus/to_dell_xps__r2.json
oculus,dyson,0,-1.1875,220,2,1,1,C,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oculus/to_dyson__r2.json
oculus,facebook,1,,,,1,0,,r0,m_tuned,2.402249,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oculus/to_facebook__r0__m_tuned.json
oculus,iphone,0,0.5625,23,1,1,1,C,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oculus/to_iphone__r0.json
oculus,model_s,0,7.125,143,1,0,1,A,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oculus/to_model_s__r2.json
oculus,nike_shoes,0,-1.0,87,2,1,1,C,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oculus/to_nike_shoes__r1.json
oculus,oracle_db,0,-0.9219,220,2,1,1,A,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oculus/to_oracle_db__r2.json
oculus,twitter,0,-2.5625,175,4,1,1,C,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oculus/to_twitter__r2.json
oculus,windows,0,1.25,2747,1,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oculus/to_windows__r0.json
oculus,wordpress,0,-1.375,299,2,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oculus/to_wordpress__r0.json
oracle_db,alibaba,0,-0.125,1292,2,0,0,,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oracle_db/to_alibaba__r2.json
oracle_db,dell_xps,0,3.8672,80,1,1,1,C,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oracle_db/to_dell_xps__r1.json
oracle_db,dyson,0,-0.75,19,2,1,0,D,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oracle_db/to_dyson__r0.json
oracle_db,facebook,0,4.5,82,1,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oracle_db/to_facebook__r0.json
oracle_db,iphone,0,-0.125,54,2,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oracle_db/to_iphone__r0.json
oracle_db,model_s,0,17.7188,375,1,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oracle_db/to_model_s__r0.json
oracle_db,nike_shoes,0,1.1562,696,1,1,1,,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oracle_db/to_nike_shoes__r2.json
oracle_db,oculus,0,-3.1875,3875,3,1,0,,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oracle_db/to_oculus__r0.json
oracle_db,twitter,0,1.375,1292,1,1,1,,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oracle_db/to_twitter__r2.json
oracle_db,windows,1,,,,1,0,,r1,m_tuned,6.931448,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oracle_db/to_windows__r1__m_tuned.json
oracle_db,wordpress,0,-0.5,963,2,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/oracle_db/to_wordpress__r0.json
twitter,alibaba,1,4.875,1,1,0,0,D,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/twitter/to_alibaba__r0.json
twitter,dell_xps,0,3.0625,274,1,1,1,C,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/twitter/to_dell_xps__r1.json
twitter,dyson,0,0.5937,156,1,1,1,E,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/twitter/to_dyson__r1.json
twitter,facebook,0,2.0,76,1,0,0,D,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/twitter/to_facebook__r2.json
twitter,iphone,0,1.2188,178,1,0,1,C,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/twitter/to_iphone__r0.json
twitter,model_s,1,,,,1,0,,r2,m_tuned,2.402249,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/twitter/to_model_s__r2__m_tuned.json
twitter,nike_shoes,0,-0.3125,7976,3,1,0,,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/twitter/to_nike_shoes__r2.json
