domain,from_slug,to_slug,is_identity,K_src,K_tgt,ref_sum_src,ref_sum_tgt,achieved_sum_src,achieved_sum_tgt,ablate_count,amplify_count,hit_default,hit_m_tuned,best_hit,has_m_tuned,m_tuned_value,m_tuned_steps,from_suppressed_default,best_gap_default,gap_closure_default,vs_max_default,vs_topk_default,labeled_winning_variant,labeled_used_m_tuned,labeled_hit,labeled_best_gap,labeled_n_ablate,labeled_n_amplify,labeled_ref_sum_src,labeled_ref_sum_tgt
books,dracula,jean_valjean,0,32,13,0.148681,0.083439,0.1502849459648114,0.08397570252418449,32,13,0,,0,0,,,1,5.5313,0.0,0.875,1.9583,add_book_author,0,1,19.5156,104,65,0.148681,0.083439
books,dracula,katniss_everdeen,0,32,16,0.148681,0.104807,0.1502849459648114,0.10726243257522512,32,16,0,,0,0,,,0,14.4062,0.0,4.9375,6.2083,add_book_author,0,1,29.75,104,63,0.148681,0.104807
books,dracula,raskolnikov,0,32,8,0.148681,0.06248,0.1502849459648114,0.0639255046844478,32,8,0,,0,0,,,1,2.9688,0.0,-4.75,-3.75,add_book_author,0,0,13.5625,104,38,0.148681,0.06248
books,dracula,winston_smith,0,32,14,0.148681,0.108922,0.1502849459648114,0.108959257602691,32,14,0,,0,0,,,1,12.8125,0.0,6.1875,7.3125,add_book_author,0,1,21.0938,104,52,0.148681,0.108922
books,ebenezer_scrooge,atticus_finch,0,24,19,0.149134,0.108991,0.1502445340156546,0.11148107051849247,24,19,0,,0,0,,,1,10.1562,0.0,-1.125,0.6458,add_book_author,0,1,30.4375,71,68,0.149134,0.108991
books,ebenezer_scrooge,captain_ahab,0,9,10,0.069912,0.066373,0.07604464888572669,0.06663975119590729,9,10,0,,0,0,,,1,-0.3125,0.0,-4.75,-3.8333,add_book,0,1,11.9375,26,29,0.069912,0.066373
books,ebenezer_scrooge,dracula,0,10,8,0.079222,0.059728,0.0830252766609189,0.0640558898448939,10,8,0,,0,0,,,1,7.375,0.0,1.875,2.25,add_author,0,0,11.1562,45,38,0.079222,0.059728
books,ebenezer_scrooge,ebenezer_scrooge,1,9,0,0.069912,0.0,0.07604464888572669,0.0,9,0,1,,1,0,,,0,0.0,0.0,3.6875,4.0417,add_book,0,1,0.0,26,0,0.069912,0.0
books,ebenezer_scrooge,edmond_dantes,0,24,15,0.149134,0.08907,0.1502445340156546,0.08945497870445172,24,15,0,,0,0,,,1,8.3438,0.0,-4.25,-3.4792,add_book_author,0,0,11.3125,71,67,0.149134,0.08907
books,ebenezer_scrooge,elizabeth_bennet,0,24,12,0.149134,0.089048,0.1502445340156546,0.09336459636688169,24,12,0,,0,0,,,1,9.8125,0.0,1.75,3.4167,add_book_author,0,1,16.6719,71,51,0.149134,0.089048
