dataset,slug_a,slug_b,n_features_a,n_features_b,n_shared,n_union,jaccard_overlap,directional_overlap_a,directional_overlap_b,activation_stability,peak_token_agreement,peak_type_agreement,same_supernode_rate,entity_regrouped_rate,inconsistent_rate,influence_weighted_jaccard,n_supernodes_a,n_supernodes_b,n_shared_supernodes,overlap_early,overlap_mid,overlap_late
products_founders_batch,alibaba,twitter,195,203,122,276,0.4420289855072464,0.6256410256410256,0.6009852216748769,0.910119591115579,0.9508196721311475,1.0,0.4426229508196721,0.06557377049180328,0.4918032786885246,0.39356045897107095,25,24,19,0.5986842105263158,0.3333333333333333,0.2073170731707317
products_founders_batch,alibaba,windows,195,222,111,306,0.3627450980392157,0.5692307692307692,0.5,0.9273772266019975,0.963963963963964,1.0,0.7747747747747747,0.1891891891891892,0.036036036036036036,0.32437727072502354,25,25,18,0.5345911949685535,0.2608695652173913,0.13861386138613863
products_founders_batch,alibaba,wordpress,195,213,109,299,0.36454849498327757,0.558974358974359,0.5117370892018779,0.9198223786124501,0.9541284403669725,1.0,0.7798165137614679,0.13761467889908258,0.08256880733944955,0.3336072571263747,25,27,19,0.509090909090909,0.21739130434782608,0.17045454545454544
products_founders_batch,dell_xps,dyson,257,285,135,407,0.3316953316953317,0.5252918287937743,0.47368421052631576,0.9134013794610623,0.9185185185185185,0.9925925925925926,0.34074074074074073,0.1925925925925926,0.4666666666666667,0.3010034981698733,25,26,19,0.4090909090909091,0.35,0.14285714285714285
products_founders_batch,dell_xps,ebay_platform,257,235,142,350,0.4057142857142857,0.5525291828793775,0.6042553191489362,0.8827712224373917,0.9295774647887324,0.9929577464788732,0.7323943661971831,0.20422535211267606,0.06338028169014084,0.3665379401994123,25,26,19,0.48756218905472637,0.39622641509433965,0.23958333333333334
products_founders_batch,dell_xps,facebook,257,194,124,327,0.37920489296636084,0.48249027237354086,0.6391752577319587,0.889627741825963,0.9435483870967742,0.9838709677419355,0.782258064516129,0.12903225806451613,0.08870967741935484,0.34282288227231156,25,26,18,0.5028248587570622,0.3269230769230769,0.1836734693877551
products_founders_batch,dell_xps,ford_cars,257,224,116,365,0.3178082191780822,0.45136186770428016,0.5178571428571429,0.9202303839583134,0.9310344827586207,0.9913793103448276,0.7586206896551724,0.14655172413793102,0.09482758620689655,0.2934911170564568,25,27,19,0.46842105263157896,0.2777777777777778,0.09917355371900827
products_founders_batch,dell_xps,iphone,257,228,130,355,0.36619718309859156,0.5058365758754864,0.5701754385964912,0.9014979186538606,0.9461538461538461,0.9923076923076923,0.7769230769230769,0.14615384615384616,0.07692307692307693,0.3297903339199055,25,26,19,0.4946808510638298,0.3333333333333333,0.16363636363636364
products_founders_batch,dell_xps,model_s,257,256,130,383,0.3394255874673629,0.5058365758754864,0.5078125,0.9214653582909752,0.9230769230769231,0.9538461538461539,0.7923076923076923,0.16153846153846155,0.046153846153846156,0.3057861716831953,25,26,17,0.46859903381642515,0.3333333333333333,0.11206896551724138
products_founders_batch,dell_xps,nike_shoes,257,231,141,347,0.40634005763688763,0.5486381322957199,0.6103896103896104,0.9240085848761954,0.9219858156028369,0.9858156028368794,0.7801418439716312,0.18439716312056736,0.03546099290780142,0.36883406141342406,25,27,20,0.5604395604395604,0.31666666666666665,0.19047619047619047
